"";"user_id";"user_created_at";"admin";"created_by";"sign_in_count";"last_sign_in_at";"accept_terms_and_conditions";"accept_data_privacy";"gender";"country";"work_country";"work_district";"job_position";"job_sector";"found_over";"company_size";"job_status_edu_fulltime";"job_status_edu_parttime";"job_status_employed_fulltime";"job_status_employed_parttime";"job_status_selfemployed";"job_status_houskeeping";"job_status_unemployed";"job_status_retired";"educational_achievement";"consultant";"registration_age";"registration_ageKat";"session_id";"session_created_at";"version";"quest_id";"reasons";"emotions";"strengths";"utilization";"completed";"completed_at";"reason_of_attendence";"story";"categories";"favirte_image";"emotion_recognition_enabled"
"1";"5583e5177a68616fe9000026";2012-09-14;"false";"";4;"2020-04-24 16:20:11 UTC";"";"";"m";"CH";"CH";"ZH";"Fachspezialist/-in";"Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen";"Empfehlung";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Doktorat, Habilitation";"";36;"30-39";"5e95dfac9fdb055fbc74dcf1";"2020-04-14 18:07:08 +0200";0;"";"";"";"";"";"false";"";"";"";"";"";""
"2";"5583e5477a68616fe900027b";2014-06-12;"false";"";58;"2020-03-25 07:26:05 UTC";"";"";"f";"CH";"CH";"ZH";"untere Führungsstufe (z.B. Teamleitung)";"Erbringung von sonstigen Dienstleistungen";"";249;0;0;0;1;0;0;0;0;"Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom";"true";34;"30-39";"5e6a19609fdb05109625994d";"2020-03-12 12:13:36 +0100";0;"";"";"";"";"";"false";"";"";"";"";"";""
"3";"5583e5477a68616fe900027b";2014-06-12;"false";"";58;"2020-03-25 07:26:05 UTC";"";"";"f";"CH";"CH";"ZH";"untere Führungsstufe (z.B. Teamleitung)";"Erbringung von sonstigen Dienstleistungen";"";249;0;0;0;1;0;0;0;0;"Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom";"true";34;"30-39";"5e6a18de9fdb05109625994a";"2020-03-12 12:11:26 +0100";0;"";"";"";"";"";"false";"";"";"";"";"";""
"4";"5583e5477a68616fe900027b";2014-06-12;"false";"";58;"2020-03-25 07:26:05 UTC";"";"";"f";"CH";"CH";"ZH";"untere Führungsstufe (z.B. Teamleitung)";"Erbringung von sonstigen Dienstleistungen";"";249;0;0;0;1;0;0;0;0;"Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom";"true";34;"30-39";"5e6a18bf9fdb051096259949";"2020-03-12 12:10:55 +0100";0;"";"";"";"";"";"false";"";"";"";"";"";""
"5";"5583e54c7a68616fe9000337";2012-11-19;"false";"";232;"2020-04-27 14:36:56 UTC";"";"";"f";"CH";"CH";"ZH";"Fachspezialist/-in";"Erbringung von sonstigen Dienstleistungen";"Über meine Beratungsperson: IAP Institut für Angewandte Psychologie";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Höhere Fachschule lusive Nachdiplome";"true";43;"40-49";"5e9ee9e09fdb051570cda96d";"2020-04-21 14:41:09 +0200";0;"";"";"";"";"";"true";"2020-04-21T14:43:56+02:00";"serious";"";"Da stehe ich heute, Da will ich hin";"./erwachsene-pixabay-04_cliffhanger.jpg";"false"
"6";"5583e54f7a68616fe9000393";2012-11-20;"false";"";363;"2020-04-28 11:06:57 UTC";"";"";"f";"CH";"CH";"ZH";"Fachspezialist/-in";"Erbringung von sonstigen Dienstleistungen";"Empfehlung";250;0;0;0;1;0;0;0;0;"Bachelor";"true";42;"40-49";"5e73160b9fdb054263b93a17";"2020-03-19 07:49:47 +0100";0;"";"";"";"";"";"false";"";"";"";"";"";""
"7";"5583e5527a68616fe90003db";2013-04-12;"false";"";508;"2020-04-28 12:08:36 UTC";"";"";"m";"CH";"CH";"ZH";"Fachspezialist/-in";"Erziehung und Unterricht";"Empfehlung";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom";"true";30;"30-39";"5e8cadf59fdb05146c737857";"2020-04-07 18:44:37 +0200";0;"";"";"";"";"";"false";"";"";"";"";"";""
"8";"5583e61d7a68616fe9002cd0";2014-02-11;"false";"";13;"2020-04-22 10:15:32 UTC";"";"";"f";"CH";"CH";"TG";"Keine Angaben";"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";"Empfehlung";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom";"";44;"40-49";"5e9802779fdb053ac113e133";"2020-04-16 09:01:09 +0200";0;"";"klarheit, weitsicht, macht, schönheit, tiefe, weisheit, stärke, natur, wild unbezwingbar, ruhig fokussiert";"stärke, kraft, zuversicht, selbsbewusstsein";"";"";"true";"2020-04-16T09:03:22+02:00";"test";"hat sich gut positioniert, beobachtet die Situation, weise. Sie schaut sich um und ist bereit dafür, sehr konzentrier";"";"./tiere-pixabay-3_eule.jpg";"false"
"9";"5583e6eb7a68616fe90053d6";2013-03-27;"false";"";2;"2020-03-31 14:20:10 UTC";"";"";"m";"CH";"CH";"ZH";"untere Führungsstufe (z.B. Teamleitung)";"Gesundheits- und Sozialwesen";"Sonstiges";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom";"";40;"40-49";"5e8351b79fdb05401d02a36a";"2020-03-31 16:21:09 +0200";0;"";"Neugier, Schönheit, Neuheit, Spannung, Eindrücke";"Erregung, Bereicherung, ";"Neugier, Offenheit, Neues erkunden, Erkennen, Vielfalt";"Schauen, dass keine Routine aufkommt, neue Aufgaben annehmen und deren Herausforderungen ""umarmen"".";"true";"2020-03-31T16:23:50+02:00";"serious";"Pause auf einer ausgedehnten Reise, auf der viel Neues gesehen, erlebt, gegessen wird. Bisher haben viele neue Eindrücke aus verschiedenen Kulturen auf mich eingewirkt und mich angeregt mein Denken zu erweitern. Die Vorbereitungen auf diese Reise waren die halbe Miete. Die Aussicht auf neue Eindrücke und Erfahrungen lassen mein Herz höher schlagen, und die Vorstellung in dieses Neue einzutauchen ist anregend. Diese Anregungen animieren, die eigenen Sichtweisen zu überprüfen und immer wieder zu hinterfragen. Gleichzeitig will ich mich aber treiben lassen und die Sachen von Tag zu Tag angehen. Die umfassenden Eindrücke bereichern mich und regen an mich dem Neuen auseinanderzusetzen und z.B. die Geschichte eines Landes besser kennen zulernen, um daraus Schlüsse auf die aktuelle Situation in einem Land zu schliessen. Es macht mir Freude täglich neue Zusammenhänge zu ergründen, und die Komplexität der Welt immer ein wenig mehr zu ergründen, auch wenn diese sich dadurch wohl nicht aufklärt sondern sich eher noch mehr Fragen auftun.";"";"./fortbewegung-pixabay-au05_vwbus.jpg";"true"
"10";"5583e8e47a68616fe900bd97";2013-10-14;"false";"";39;"2020-04-06 10:27:47 UTC";"";"";"f";"CH";"CH";"ZG";"mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung)";"Erbringung von sonstigen Dienstleistungen";"Über mein Bachelorstudium Psychologie";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Gymnasiale Maturität, Lehrkräfte-Seminar";"true";32;"30-39";"5e8b04239fdb052b483b47ee";"2020-04-06 12:27:47 +0200";0;"";"";"";"";"";"false";"";"";"";"";"";""
