;neurotizismusCategory;extraversionCategory;offenheitCategory;vertraeglichkeitCategory;gewissenhaftigkeitCategory
registration_age;-0,09305515293602763;-0,07830900263690185;0,08537452375331298;-0,0017531830635676075;0,11255422040025773
job_status_edu_parttime;-0,07078798342656169;0,0749865535115145;0,013212266909503566;-0,026559457964095465;0,10294700514618818
job_status_edu_fulltime;0,012129860248696247;0,024650029651450415;-0,043007630226326796;-0,13010110567577807;0,021743694277698174
job_status_employed_parttime;0,02901285113785667;-0,07697745957764489;0,055691818507707914;0,057265745793850784;-0,03906084439658419
job_status_employed_fulltime;-0,07583583969421996;0,11812829728025293;-0,09634696740357157;-0,060945088815968086;0,012060953092175744
job_status_selfemployed;0,06549727164091235;-0,09125658799802391;0,07612720933773783;0,020809941565879574;-0,03262243381976614
job_status_houskeeping;-0,026431271006079768;0,0016902966148190585;0,08489959387990549;0,030971177690933195;-0,0016902966148187098
job_status_unemployed;0,05811750927894102;-0,05187765648013553;0,013150461886831714;0,006940365610307622;0,06736191544338882
gender_f;0,12514308235908747;0,08561147574698312;0,11304691619419326;0,12108330018659147;0,0258925667016183
gender_m;-0,12514308235908747;-0,08561147574698312;-0,11304691619419326;-0,12108330018659147;-0,0258925667016183
registration_ageKat_10-19;-0,0724417944559206;0,08004077981444639;-0,03768111789370364;0,005243000464808011;-0,0008270574263258153
registration_ageKat_20-29;0,08808162254061536;0,04008486139833186;-0,06644410065738413;-0,00454383222405215;-0,06469536747052711
registration_ageKat_30-39;0,009913337993274405;0,03410146801219024;-0,015011528946334859;0,01737442451038606;-0,015185467094231502
registration_ageKat_40-49;0,00498062776723041;-0,03708853891657778;0,06186092760372647;0,01704710155555203;-0,025029959553804777
registration_ageKat_50-59;-0,09394648553180049;-0,07262334055460629;0,026891011982211204;-0,04447429508139277;0,12741661806714008
country_AT;0,05409855944779315;0,0006737062302515142;0,09837170191166757;0,004270854678186333;-0,0006737062302518238
country_CH;-0,12640584964267268;0,009516521333455678;-0,08265083785966482;0,01834983458029672;0,015646795812062145
country_DE;0,10922204993509424;-0,012286768886892584;0,06476064096501286;-0,01390852766418869;-0,017215166434838655
country_IT;0,03281879014334639;0,02849071939350789;-0,026551029258932997;-0,024240089858177737;0,02732518996377332
work_country_CH;-0,11287538844838892;0,04162534586522784;-0,08321916087516426;0,048433352346673446;0,02818214078034878
work_country_DE;0,09075316310713319;-0,05464985542276368;0,06077229024891142;-0,06375307192859565;-0,02066297491204414
work_district_AG;-0,06788975249596567;0,011131430650989088;0,032151377487449465;0,09528769813600502;0,025916033523344834
work_district_BE;0,04263938667592339;0,02513978440684317;0,05866581386351878;0,007471556457409596;-0,10101686479444381
work_district_BL;-0,03276909634854801;0,04043391862038585;-0,037681117893703764;0,04488744257589965;0,07838666496179314
work_district_BS;0,07910693805044271;0,023595449925409417;-0,08466611040392111;-0,012346852631595283;-0,06771535846272687
work_district_GR;-0,034808182884437225;-0,04301132366400083;-0,04151381098392596;0,021867751060659146;0,04301132366400154
work_district_HE;0,05409855944779298;-0,04772085797615917;0,049971926199420126;-0,04416962864545337;-0,09746283464307358
work_district_LU;0,009832822107173836;-0,027028109115418975;0,002748917259047708;0,00746762236283343;-0,0011779805425605183
work_district_NI;0,07236119932102877;-0,06780525779502447;0,0011090839186331703;-0,06533241361165437;-0,06875579879215116
work_district_NW;-0,010921004319741627;0,05596244333659119;-0,05298689227154949;-0,012703677230805208;-0,019250399077731503
work_district_SG;-0,16084215303305582;0,05507196685265358;0,04000437889653442;-0,05837165919199521;0,08652992852985979
work_district_SO;0,008954751174771649;0,031897530193201455;0,09498762723015562;-0,02405322757163348;0,06057669971668432
work_district_TG;-0,0348081828844373;-0,01358611652243829;-0,041513810983926154;0,021867751060658917;0,10186173794712465
work_district_ZG;0,00799041581705823;-0,06780582351587236;0,0022338441301053553;0,07489671882309627;-0,0009572586849298491
work_district_ZH;0,05256797679968675;-0,03101233015777962;0,0053676804692951215;-0,025431278254289254;-0,052935212537285184
job_position_Fachspezialist/-in;0,03629995919645106;-0,008026684537768189;0,028150808386928176;-0,003962717392093888;-0,0576007063848508
job_position_Sachbearbeiter/-in;0,10006353496217145;-0,06983783058443933;0,056226637955386884;0,056980887408603034;-0,03974993027196871
job_position_mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);-0,12405499647520846;0,0513402712445474;-0,0007422711497457491;-0,03184760502605556;0,11555594677983966
job_position_obere Führungsstufe (z.B. Geschäftsleitung / CEO);0,014721556596426306;0,0017636551376380189;0,06259388629712491;0,08921699051506178;0,13467089743295899
job_position_untere Führungsstufe (z.B. Teamleitung);-0,044999340692915564;0,032210638457280005;-0,1235627809391389;-0,07502535571087042;-0,06660234409333593
job_sector_Baugewerbe/Bau;-0,009279556569753723;-0,020524458611907145;0,025645538882929014;0,031814919021661676;-0,0456554041940679
job_sector_Energieversorgung;0,0056235508781488945;0,0006737062302515867;0,001572150487172679;0,004270854678186401;-0,0006737062302515848
job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen;-0,158686822475271;0,1412259209830695;-0,1662331557220316;0,026907130172644088;0,09864943643053853
job_sector_Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;0,04907477457443267;-0,061975981196472796;-0,03489829120557828;-0,08032181902689234;-0,06461950646077654
