;reasons_translation_sentimentCategory;reasons_translation_sadnessCategory;reasons_translation_joyCategory;reasons_translation_fearCategory;reasons_translation_disgustCategory;reasons_translation_angerCategory;emotions_translation_sentimentCategory;emotions_translation_sadnessCategory;emotions_translation_joyCategory;emotions_translation_fearCategory;emotions_translation_disgustCategory;emotions_translation_angerCategory;strengths_translation_sentimentCategory;strengths_translation_sadnessCategory;strengths_translation_joyCategory;strengths_translation_fearCategory;strengths_translation_disgustCategory;strengths_translation_angerCategory;utilization_translation_sentimentCategory;utilization_translation_sadnessCategory;utilization_translation_joyCategory;utilization_translation_fearCategory;utilization_translation_disgustCategory;utilization_translation_angerCategory;story_translation_sentimentCategory;story_translation_sadnessCategory;story_translation_joyCategory;story_translation_fearCategory;story_translation_disgustCategory;story_translation_angerCategory
1;0,7988;0,0412;0,2023;0,3722;0,2023;1,0;0,6102;0,3078;0,8986;0,2023;0,126;0,3078;0,0742;0,7022;0,3722;0,6102;0,6102;0,4444;0,7022;0,5239;0,8986;0,0973;0,3722;0,2512;1,0;0,0001;0,0022;0,0001;0,0;0,0001
2;0,7986;0,0411;0,0739;0,0739;0,0739;0,3074;0,7986;0,444;0,6099;0,5236;0,2019;0,1256;0,2508;0,1604;0,3074;0,7986;0,1256;0,7986;0,6099;0,3074;0,0555;0,0739;0,444;0,2508;0,702;0,0;0,0106;0,0;0,0;0,0
3;0,3882;0,3882;0,9019;0,5377;0,2672;0,5377;0,0842;0,5377;0,1089;0,4596;0,175;1,0;0,5377;0,622;0,622;0,2176;0,4596;0,8053;0,0643;0,8053;0,0484;0,2176;0,1089;0,2672;0,0484;0,0263;0,622;0,019;0,0095;0,0263
4;0,4439;0,2507;0,2019;0,5235;0,6098;0,6098;0,7019;0,7019;1,0;1,0;0,8985;0,2507;0,7019;0,3717;0,8985;0,7986;0,2507;1,0;0,7986;0,4439;0,7986;0,4439;0,7986;0,3717;0,8985;0,0739;0,2507;0,0215;0,0152;0,0152
5;0,3317;0,0015;0,2713;0,2188;0,0604;0,3317;0,5603;0,2713;0,3317;0,3317;0,1741;0,0447;0,1365;0,4766;0,1741;0,4766;0,1741;0,4002;0,2713;0,0326;0,0115;0,0035;0,0326;0,0165;0,7463;0,0;0,0015;0,0;0,0;0,0
6;0,1669;0,2111;0,8435;0,0755;0,6451;0,0562;0,6451;0,6451;0,0562;0,3236;0,9475;0,7422;0,0211;0,1669;0,3923;0,0211;0,9475;0,2632;0,2111;0,9475;0,9475;0,0412;0,3923;0,0562;0,13;0,4692;0,5537;0,0297;0,0211;0,0019
7;0,8995;0,0432;0,6136;0,6136;0,3124;0,8007;0,6136;0,6136;0,7049;0,6136;0,2066;0,4487;0,2558;0,8007;0,077;0,3768;0,0581;0,8995;0,1006;0,3124;0,6136;0,0317;0,3768;0,3768;0,3124;0,0;0,0;0,0;0,0;0,0
8;0,5538;0,4692;0,5538;0,7422;0,4692;0,3923;0,0998;0,6451;0,7422;0,3923;0,8435;0,2111;0,4692;0,9475;0,6451;0,1669;0,7422;0,3236;0,4692;0,3236;0,4692;0,3923;0,6451;0,0562;0,3923;0,0019;0,0562;0,0002;0,0008;0,3236
9;0,8915;0,6823;0,413;0,785;0,785;0,4951;0,8915;0,785;0,785;0,785;0,5853;0,8915;0,2194;0,8915;0,2194;0,6823;0,1723;0,5853;0,8915;0,3395;0,275;0,1723;0,5853;0,0405;0,6823;0,0001;0,1332;0,0004;0,0;0,0
10;0,4009;0,0116;0,4772;0,4772;0,1371;0,9485;0,9485;0,3324;0,5609;0,3324;0,1747;0,2719;0,6511;0,8463;0,0167;0,9485;0,0809;0,6511;0,4009;0,2719;0,9485;0,045;0,2194;0,3324;0,3324;0,0;0,0004;0,0;0,0;0,0
