;neurotizismusCategory;extraversionCategory;offenheitCategory;vertraeglichkeitCategory;gewissenhaftigkeitCategory
reasons_translation_sentimentCategory;0,1008;0,609;0,7617;0,2673;0,3704
reasons_translation_sadnessCategory;0,7271;0,8917;0,3086;0,9988;0,7709
reasons_translation_joyCategory;0,1757;0,5486;0,6799;0,8104;0,2701
reasons_translation_fearCategory;0,2254;0,9453;0,0366;0,3558;0,5243
reasons_translation_disgustCategory;0,3549;0,6645;0,7001;0,5816;0,4007
reasons_translation_angerCategory;0,9464;0,5026;0,0524;0,6711;0,8821
emotions_translation_sentimentCategory;0,0536;0,1743;0,7271;0,3558;0,0011
emotions_translation_sadnessCategory;0,5224;0,4376;0,3308;0,5062;0,8465
emotions_translation_joyCategory;0,1342;0,5164;0,2945;0,4436;0,18
emotions_translation_fearCategory;0,176;0,8128;0,235;0,5728;0,5608
emotions_translation_disgustCategory;0,9464;0,4492;0,4375;0,6711;0,8902
emotions_translation_angerCategory;0,8352;0,5486;0,1994;0,5342;0,5981
strengths_translation_sentimentCategory;0,6186;0,2837;0,9517;0,226;0,4272
strengths_translation_sadnessCategory;0,074;0,0743;0,4209;0,1339;0,5243
strengths_translation_joyCategory;0,2837;0,0275;0,6593;0,4883;0,8683
strengths_translation_fearCategory;0,5101;0,5665;0,397;0,8751;0,3048
strengths_translation_disgustCategory;0,7253;0,8605;0,074;0,643;0,4937
strengths_translation_angerCategory;0,8301;0,0268;0,4478;0,7051;0,9264
utilization_translation_sentimentCategory;0,8333;0,4193;0,7968;0,993;0,7814
utilization_translation_sadnessCategory;0,8247;0,8683;0,7709;0,3443;0,2853
utilization_translation_joyCategory;0,9406;0,7388;0,4035;0,255;0,255
utilization_translation_fearCategory;0,0964;0,6761;0,1593;0,5281;0,602
utilization_translation_disgustCategory;0,5177;0,5424;0,28;0,7598;0,7891
utilization_translation_angerCategory;0,2182;0,1479;0,7149;0,1798;0,4961
story_translation_sentimentCategory;0,0004;0,2262;0,4209;0,5243;0,0516
story_translation_sadnessCategory;0,0211;0,6967;0,7933;0,2874;0,1944
story_translation_joyCategory;0,0117;0,1521;0,3433;0,2931;0,005
story_translation_fearCategory;0,1598;0,6904;0,7583;0,9305;0,2068
story_translation_disgustCategory;0,7264;0,5027;0,6383;0,9027;0,6742
story_translation_angerCategory;0,2006;0,4112;0,3458;0,9903;0,3657
