;neurotizismusCategory;extraversionCategory;offenheitCategory;vertraeglichkeitCategory;gewissenhaftigkeitCategory
1;0,4903;0,4947;0,1873;0,1362;0,0393
2;0,663;0,6662;0,7027;0,1648;0,1942
3;0,4621;0,1696;0,2245;0,3931;0,5709
4;0,1707;0,6847;0,8054;0,5586;0,0165
5;0,2799;0,3544;0,2114;0,1818;0,9753
6;0,65;0,6662;0,6044;0,1942;0,6226
7;0,4378;0,1766;0,3111;0,3108;0,6674
8;0,0994;0,015;0,9009;0,1197;0,9342
9;0,0134;0,1081;0,1274;0,4624;0,368
10;0,4621;0,0368;0,8286;0,5709;0,886
11;0,9869;0,4018;0,1274;0,0849;0,368
12;0,9656;0,9485;0,2657;0,0175;0,2245
13;0,9887;0,1519;0,4121;0,9431;0,4359
14;1,0;1,0;1,0;0,4144;0,4144
15;0,3087;0,3332;0,8786;0,3675;0,0344
16;0,65;0,6662;0,7027;0,6226;0,6226
17;0,0994;0,4301;0,9009;0,4624;0,368
18;0,6624;0,2855;0,4528;0,5115;0,3777
19;0,4378;0,1766;0,3111;0,3108;0,6674
20;0,1484;0,0368;0,8286;0,5709;0,886
21;0,4378;0,5281;0,3111;0,3108;0,6674
22;0,1707;0,1929;0,8054;0,5586;0,5586
23;0,9737;0,4423;0,1598;0,8683;0,1388
24;0,2672;0,2431;0,5791;0,21;0,7918
25;0,9737;0,4423;0,5645;0,8683;0,1388
26;0,62;0,604;0,3066;0,1116;0,8228
27;0,2479;0,0631;0,5791;0,3064;0,7918
28;0,6624;0,7631;0,4528;0,1531;0,5115
29;0,0829;0,1065;0,5097;0,5642;0,5642
30;0,0816;0,5774;0,622;0,6038;0,0723
31;0,0229;0,1929;0,2495;0,5586;0,1372
32;0,0072;0,0086;0,3313;0,3064;0,21
33;0,0829;0,1065;0,5097;0,5642;0,5642
34;0,2287;0,7631;0,4528;0,5115;0,5115
35;0,262;0,2539;0,747;0,2407;0,0086
36;0,0943;0,4423;0,1598;0,8683;0,0694
