;registration_age;job_status_edu_parttime;job_status_edu_fulltime;job_status_employed_parttime;job_status_employed_fulltime;job_status_selfemployed;job_status_houskeeping;job_status_unemployed;gender_f;gender_m;registration_ageKat_10-19;registration_ageKat_20-29;registration_ageKat_30-39;registration_ageKat_40-49;registration_ageKat_50-59;country_AT;country_CH;country_DE;country_IT;work_country_CH;work_country_DE;work_district_AG;work_district_BE;work_district_BL;work_district_BS;work_district_GR;work_district_HE;work_district_LU;work_district_NI;work_district_NW;work_district_SG;work_district_SO;work_district_TG;work_district_ZG;work_district_ZH;job_position_Fachspezialist/-in;job_position_Sachbearbeiter/-in;job_position_mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);job_position_obere Führungsstufe (z.B. Geschäftsleitung / CEO);job_position_untere Führungsstufe (z.B. Teamleitung);job_sector_Baugewerbe/Bau;job_sector_Energieversorgung;job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen;job_sector_Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;job_sector_Erbringung von sonstigen Dienstleistungen;job_sector_Erbringung von sonstigen wirtschaftlichen Dienstleistungen;job_sector_Erziehung und Unterricht;job_sector_Gastgewerbe/Beherbergung und Gastronomie;job_sector_Gesundheits- und Sozialwesen;"job_sector_Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";job_sector_Information und Kommunikation;job_sector_Kunst, Unterhaltung und Erholung;job_sector_Verarbeitendes Gewerbe/Herstellung von Waren;job_sector_Verkehr und Lagerei;"job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";company_size_1.0;company_size_249.0;company_size_250.0;company_size_49.0;company_size_9.0;educational_achievement_2- bis 3-jährige Diplommittelschule, Verkehrsschule, Fachmittelschule FMS;educational_achievement_Bachelor;educational_achievement_Berufliche Grundbildung;educational_achievement_Berufs- oder Fachmaturität;educational_achievement_Doktorat, Habilitation;educational_achievement_Gymnasiale Maturität, Lehrkräfte-Seminar;educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik;educational_achievement_Höhere Fachschule lusive Nachdiplome;educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom;educational_achievement_obligatorische Schule
reasons_translation_sentimentCategory;0,1003;0,5971;0,8101;0,1945;0,2701;0,8445;0,1779;0,3009;0,0164;0,0156;0,2848;0,3182;0,3858;0,1581;0,8915;0,1864;0,1091;0,121;0,6452;0,3886;0,4248;0,0302;0,38;0,4852;0,2315;0,2174;0,105;0,0776;0,8268;0,5731;0,4399;0,5462;0,3631;0,604;0,4098;0,1203;0,7459;0,5085;0,3587;0,2489;0,4399;0,8908;0,2018;0,7767;0,7394;0,7259;0,3613;0,2228;0,3789;0,8908;0,7299;0,604;0,0906;0,2174;0,6962;0,8101;0,4207;0,7846;0,5358;0,5483;0,2848;0,8406;0,974;0,8528;0,2462;0,968;0,4719;0,9026;0,8785;0,1864
reasons_translation_sadnessCategory;0,1005;0,9784;0,3983;0,9081;0,9996;0,8666;0,8666;0,3949;0,3748;0,2688;0,2823;0,837;0,1166;0,2602;0,51;0,9171;0,4279;0,2167;0,4795;0,9274;0,6579;0,8393;0,8759;0,0615;0,2358;0,8339;0,1068;0,0811;0,2954;0,5638;0,2982;0,7758;0,8339;0,1009;0,6029;0,8173;0,5212;0,3575;0,6375;0,8535;0,4261;0,8827;0,3885;0,7798;0,502;0,7438;0,0444;0,0558;0,5212;0,8827;0,2247;0,8339;0,4261;0,8339;0,1176;0,7963;0,581;0,7126;0,8932;0,9393;0,3535;0,7248;0,0471;0,2588;0,0877;0,3522;0,4456;0,8593;0,6663;0,9171
reasons_translation_joyCategory;0,0215;0,392;0,4615;0,9317;0,2834;0,7359;0,9619;0,0056;0,0042;0,0076;0,2971;0,1057;0,3779;0,6713;0,02;0,1753;0,5581;0,4873;0,5137;0,892;0,5122;0,9743;0,2958;0,5137;0,7245;0,5551;0,0963;0,1757;0,6159;0,6205;0,4721;0,5852;0,4032;0,121;0,2558;0,1356;0,8652;0,7936;0,8389;0,1635;0,2653;0,9312;0,6443;0,87;0,8909;0,3822;0,2899;0,254;0,7454;0,9312;0,2899;0,9023;0,2389;0,1921;0,7802;0,8799;0,4369;0,9996;0,6971;0,6579;0,2971;0,1191;0,8999;0,208;0,9013;0,5746;0,7415;0,7045;0,9746;0,1753
reasons_translation_fearCategory;0,1406;0,2382;0,0413;0,4968;0,3681;0,3619;0,5273;0,731;0,306;0,3131;0,2799;0,2779;0,6845;0,6881;0,2371;0,1909;0,8123;0,5155;0,4739;0,4594;0,8162;0,5656;0,2522;0,4739;0,0376;0,624;0,1086;0,4836;0,6971;0,5546;0,4125;0,0376;0,3477;0,8226;0,536;0,0066;0,2175;0,133;0,9804;0,3138;0,4125;0,2445;0,409;0,3989;0,3633;0,7618;0,7886;0,565;0,1525;0,3966;0,0369;0,624;0,1395;0,624;0,2213;0,7564;0,6533;0,8876;0,8586;0,7571;0,2799;0,513;0,9714;0,1114;0,9954;0,2823;0,1545;0,2334;0,8837;0,9114
reasons_translation_disgustCategory;0,0196;0,3964;0,4836;0,8786;0,2743;0,4362;0,2515;0,1954;0,3097;0,2203;0,302;0,0703;0,3529;0,0984;0,2017;0,1709;0,7462;0,8058;0,6023;0,4119;0,6839;0,4134;0,3763;0,5253;0,2026;0,4199;0,6023;0,2488;0,5934;0,7697;0,221;0,2026;0,9253;0,4199;0,7365;0,1292;0,1682;0,7995;0,5;0,4076;0,1269;0,9474;0,3978;0,3365;0,6971;0,7052;0,7062;0,2673;0,1491;0,9474;0,1532;0,536;0,0923;0,4199;0,0298;0,6388;0,7278;0,6786;0,4068;0,7039;0,302;0,6515;0,7859;0,8866;0,6879;0,9133;0,8904;0,6553;0,9178;0,9629
reasons_translation_angerCategory;0,2828;0,8298;0,9222;0,4744;0,6918;0,4198;0,4637;0,3059;0,4813;0,4774;0,3044;0,514;0,3957;0,2008;0,8485;0,1688;0,3027;0,8047;0,5311;0,3324;0,4044;0,9607;0,6045;0,5311;0,6091;0,178;0,0913;0,1569;0,9291;0,2239;0,5583;0,6992;0,5266;0,9368;0,7159;0,1593;0,108;0,8298;0,8884;0,9938;0,0496;0,2897;0,0694;0,0384;0,7233;0,4225;0,7281;0,6741;0,1647;0,9555;0,0075;0,0391;0,0302;0,0262;0,1089;0,2047;0,6928;0,628;0,2809;0,7273;0,3044;0,3662;0,7598;0,7184;0,458;0,8964;0,4615;0,3948;0,8645;0,9686
emotions_translation_sentimentCategory;0,6605;0,7518;0,5529;0,8872;0,1416;0,5544;0,0804;0,5268;0,8764;0,9638;0,3167;0,6615;0,4323;0,8869;0,9047;0,156;0,0731;0,0562;0,5663;0,0453;0,0529;0,56;0,7522;0,5604;0,6577;0,1559;0,0817;0,6036;0,5177;0,2509;0,1658;0,6577;0,4718;0,4807;0,097;0,5101;0,571;0,5398;0,2027;0,3149;0,3538;0,3136;0,8914;0,5808;0,4307;0,8324;0,8406;0,3166;0,7339;0,3185;0,6839;0,4718;0,6389;0,9942;0,2198;0,2456;0,3481;0,3945;0,611;0,1081;0,3167;0,7255;0,4205;0,3303;0,1566;0,4518;0,019;0,4952;0,565;0,156
emotions_translation_sadnessCategory;0,5166;0,7518;0,5529;0,7238;0,5826;0,0804;0,8365;0,0144;0,5765;0,5758;0,3192;0,8727;0,3872;0,4638;0,6883;0,9971;0,9802;0,8053;0,5663;0,8642;0,7364;0,3135;0,5168;0,5604;0,6496;0,4718;0,0833;0,6181;0,9936;0,7088;0,6556;0,6496;0,4718;0,4718;0,6507;0,5101;0,7685;0,9844;0,2027;0,8157;0,366;0,996;0,4494;0,5808;0,4105;0,4948;0,8406;0,7425;0,0351;0,3136;0,408;0,4807;0,366;0,4718;0,0359;0,0185;0,3728;0,6532;0,7729;0,8476;0,3192;0,8804;0,6338;0,3303;0,404;0,813;0,2034;0,7522;0,4686;0,156
emotions_translation_joyCategory;0,5166;0,997;0,6515;0,1989;0,8621;0,7148;0,4529;0,1174;0,4701;0,351;0,3363;0,645;0,6972;0,7861;0,6976;0,9572;0,0996;0,0366;0,6084;0,1635;0,1834;0,4232;0,2806;0,5195;0,716;0,1246;0,0946;0,3875;0,6046;0,2979;0,458;0,716;0,4115;0,9138;0,1497;0,6776;0,9533;0,997;0,8481;0,7177;0,0968;0,0369;0,8506;0,6902;0,4552;0,6876;0,2768;0,6517;0,7855;0,9393;0,3018;0,5455;0,458;0,5455;0,7744;0,4725;0,8245;0,3686;0,3237;0,3162;0,3363;1,0;0,6739;0,7514;0,2044;0,5603;0,4601;0,0806;0,2054;0,9572
emotions_translation_fearCategory;0,9427;0,5243;0,2915;0,3174;0,7756;0,2515;0,1211;0,0113;0,3097;0,4113;0,3339;0,8904;0,7572;0,3291;0,4762;0,9629;0,8567;0,292;0,5253;0,8327;0,9299;0,1161;0,6553;0,5253;0,7076;0,0252;0,0929;0,0565;0,5934;0,6398;0,8802;0,7076;0,4199;0,4199;0,5044;0,1292;0,9884;0,5817;0,5577;0,2776;0,5428;0,9474;0,3978;0,2256;0,301;0,3349;0,4575;0,8129;0,2311;0,0378;0,8682;0,1826;0,032;0,9253;0,8039;0,0609;0,3373;0,2225;0,4435;0,4633;0,302;0,96;0,6991;0,8866;0,8721;0,5461;0,8904;0,6553;0,9096;0,1436
