;attribute 1;attribute 2;p-value;correlation
0;1;human;0,0001;-0,11526072364819653
1;1;nature;0,0002;0,11049180850582614
2;1;mobility;0,0003;-0,10962434034149085
3;1;food;0,0457;-0,06008905631881419
4;2;human;0,0;-0,15501779524614162
5;2;nature;0,0;0,16505417178375495
6;2;mobility;0,0001;-0,11923211279062933
7;2;child;0,0186;-0,07076483021361205
8;2;food;0,008;-0,07971136929410007
9;3;human;0,0033;0,08832063551499926
10;5;human;0,0;-0,16969146723587047
11;5;nature;0,0;0,14208204999087506
12;5;mobility;0,0;-0,14359270682130298
13;5;child;0,0049;-0,08458045006826619
14;5;food;0,0007;-0,10131337590136263
15;6;animal;0,0002;0,11279066670992711
16;7;human;0,0;-0,1502792338460723
17;7;animal;0,0474;0,059630945058712824
18;7;nature;0,0;0,1252098469500332
19;7;mobility;0,0;-0,12889639405677872
20;7;child;0,0451;-0,0602624201658557
21;7;food;0,01;-0,07745456562645267
22;8;nature;0,002;0,09270730297746536
23;9;human;0,0009;-0,09995113895800688
24;9;nature;0,0032;0,08852041776917506
25;9;mobility;0,0002;-0,11085312240194437
26;10;human;0,0;-0,12576829364282055
27;10;nature;0,0;0,14190328888628997
28;10;mobility;0,0022;-0,09199784674322255
29;10;child;0,011;-0,07642067228761465
30;10;food;0,0133;-0,07444514151426093
31;12;human;0,0134;0,07432279863768551
32;14;animal;0,0292;0,06559021760180567
33;17;human;0,0114;-0,07604433866877676
34;17;animal;0,0008;0,10071289918905203
35;17;mobility;0,0401;-0,0617324626384531
36;18;human;0,0;-0,14292241899259558
37;18;nature;0,0;0,1363574816256347
38;18;mobility;0,0001;-0,11561302067693255
39;18;child;0,0158;-0,07254611327418344
40;18;food;0,0042;-0,08598851902812389
41;19;human;0,0;-0,14483602972341103
42;19;nature;0,0;0,1509329167741877
43;19;mobility;0,0001;-0,11866075304425663
44;19;child;0,0343;-0,0636442644326224
45;19;food;0,0051;-0,08422970919798065
46;20;human;0,0048;-0,08479824577719962
47;20;nature;0,0;0,13473079762071719
48;20;mobility;0,0002;-0,11242202043910733
49;20;child;0,0415;-0,06131227577001703
50;20;food;0,0411;-0,06143911784043485
51;21;human;0,0;-0,15676850041410928
52;21;nature;0,0;0,1466175367702291
53;21;mobility;0,0;-0,13026467690451501
54;21;child;0,0064;-0,08189522563476888
55;21;food;0,0014;-0,09596621060135767
56;22;human;0,0002;-0,11065308931376955
57;22;nature;0,0002;0,11190682693080754
58;22;mobility;0,0001;-0,11785687052232398
59;22;food;0,0169;-0,07184601176178762
60;23;human;0,026;-0,0669382101969224
61;23;nature;0,0054;0,08364879058982382
62;23;mobility;0,0074;-0,08044967619967386
63;24;human;0,0155;0,07276075686644252
64;25;nature;0,0206;0,06962708613673078
65;25;mobility;0,0369;-0,06276075001070948
66;27;human;0,0012;-0,09710711372342613
67;27;nature;0,0;0,14411863418619353
68;27;mobility;0,0;-0,14687067636710435
69;27;food;0,0115;-0,0759303045556298
70;28;human;0,0;0,1588668537917927
71;28;nature;0,0;-0,13977591083150054
72;28;mobility;0,0002;0,11331870251876967
73;28;child;0,0366;0,06286677957438884
74;29;human;0,0;-0,13167125009489122
75;29;nature;0,0;0,13074327215211506
76;29;mobility;0,0001;-0,12139204617513256
77;29;child;0,0044;-0,08559978985900073
78;29;food;0,0051;-0,08418943389928403
79;30;animal;0,0016;0,09488907670273444
80;32;nature;0,006;0,08253883029939657
81;33;human;0,0;-0,17026733294762092
82;33;nature;0,0;0,13967924769227927
83;33;mobility;0,0;-0,1462373179498321
84;33;child;0,0041;-0,08624877604467115
85;33;food;0,0035;-0,08783460880541906
86;34;human;0,0;-0,15584504497941615
87;34;nature;0,0001;0,1153779454079659
88;34;mobility;0,0003;-0,10960043454265916
89;34;child;0,0183;-0,07090865677307379
90;34;food;0,0081;-0,079611124660821
91;37;human;0,003;0,08926652352382251
92;37;mobility;0,0025;0,09088554906955103
93;38;animal;0,0112;0,07624753380722372
94;40;animal;0,0175;0,07142808395896319
95;42;human;0,0096;-0,07784816743307374
96;42;nature;0,0417;0,06124218602609795
97;43;human;0,0324;0,06435420898741377
98;44;human;0,0;0,16341110838202436
99;44;nature;0,0001;-0,11383229612882159
100;44;mobility;0,0001;0,11652275395967973
101;44;child;0,0029;0,08952806576392178
102;44;food;0,0332;0,06405117024104247
103;45;human;0,0;-0,1339601600903035
104;45;nature;0,0;0,13448739993644815
105;45;mobility;0,0001;-0,1203379973843883
106;45;food;0,019;-0,07053847148474297
107;46;nature;0,0166;0,07200671915875247
108;47;human;0,0001;-0,11447259266630913
109;47;nature;0,0001;0,11888307623497679
110;47;mobility;0,0003;-0,10895020830117758
111;47;child;0,0306;-0,06503126232445856
112;47;food;0,0363;-0,06294554754159315
113;48;human;0,0;-0,1421458612521187
114;48;nature;0,0;0,15736505922345487
115;48;mobility;0,0;-0,13988122802245184
116;48;child;0,0163;-0,07221122228581088
117;48;food;0,0165;-0,07208497954422292
118;49;animal;0,0005;0,10524437402357364
119;50;human;0,0196;0,0701904896080675
120;51;human;0,0021;0,09234315707967565
121;54;human;0,0028;0,08974668966610284
122;54;nature;0,0004;-0,10729772705679085
123;54;mobility;0,0006;0,10322415509648655
124;54;food;0,0431;0,06084680913247592
125;55;human;0,0001;-0,11841199913624323
126;55;nature;0,0011;0,09803941662963409
127;55;mobility;0,0;-0,12307759671487199
128;55;child;0,0213;-0,06924904898794826
129;55;food;0,0137;-0,07412012918131378
130;56;human;0,0034;-0,08809868980974954
131;56;animal;0,0031;0,0888207728051735
132;56;nature;0,0004;0,105501123839284
133;56;mobility;0,0;-0,13399464127496968
134;58;human;0,0028;-0,08969108526511733
135;58;animal;0,0008;0,10068646822784685
136;58;nature;0,0027;0,08998177085289139
137;58;mobility;0,0052;-0,08399019181983039
138;59;animal;0,0005;0,1049125410359794
139;59;mobility;0,0378;-0,06246649379767549
140;60;human;0,0259;0,06700660747046866
141;60;nature;0,0006;-0,10310797920088562
142;60;mobility;0,0086;0,07892929205869065
143;61;human;0,0;0,13225074025495812
144;61;nature;0,0003;-0,10912729347765172
145;61;mobility;0,0;0,12511954377549747
146;61;child;0,0242;0,06776940772331169
147;61;food;0,0168;0,07186136660602536
148;63;nature;0,0011;0,09822554826526071
149;64;animal;0,0015;0,09540983096569391
150;64;mobility;0,0199;-0,0699913736410242
151;66;human;0,0;-0,15275426838000675
152;66;nature;0,0001;0,11974559531354935
153;66;mobility;0,0;-0,13307260440574456
154;66;child;0,0109;-0,07653555723666283
155;66;food;0,0007;-0,10168771017688516
156;67;animal;0,0009;0,09957108341530412
157;72;child;0,0119;0,07561739834104686
158;72;food;0,0489;-0,05923675115402263
159;74;nature;0,0101;-0,07735836001144007
160;74;child;0,0208;0,06948932982182904
161;76;human;0,0;0,16973245071049697
162;76;mobility;0,0001;0,11592762276880628
163;77;human;0,0161;-0,07234128310912936
164;77;food;0,0021;-0,09251073354465265
165;78;human;0,0023;0,09140862976153559
166;78;child;0,0343;-0,06365839752864116
167;78;food;0,035;-0,0634181748720039
168;79;human;0,0001;0,11542004989222751
169;79;mobility;0,0024;0,09136714025640186
170;80;human;0,0;0,12737815438942351
171;80;animal;0,0065;-0,08173548641428455
172;80;mobility;0,004;0,08637271009495039
173;80;food;0,0036;-0,08753101970393529
