;attribute 1;attribute 2;p-value;correlation
0;reasons_translation_sentimentCategory;gender_f;0,0164;0,12073695853421011
1;reasons_translation_sentimentCategory;gender_m;0,0156;-0,12154978390402583
2;reasons_translation_sentimentCategory;work_district_AG;0,0302;0,10905950845272103
3;reasons_translation_sadnessCategory;job_sector_Erziehung und Unterricht;0,0444;0,10122806649663137
4;reasons_translation_sadnessCategory;educational_achievement_Berufliche Grundbildung;0,0471;-0,09996032281706696
5;reasons_translation_joyCategory;registration_age;0,0215;-0,11563051928678562
6;reasons_translation_joyCategory;job_status_unemployed;0,0056;-0,13909089078443498
7;reasons_translation_joyCategory;gender_f;0,0042;0,14375210210705236
8;reasons_translation_joyCategory;gender_m;0,0076;-0,13414236765604812
9;reasons_translation_joyCategory;registration_ageKat_50-59;0,02;-0,11701911592506622
10;reasons_translation_fearCategory;job_status_edu_fulltime;0,0413;-0,10271218050399104
11;reasons_translation_fearCategory;work_district_BS;0,0376;0,10466430427045992
12;reasons_translation_fearCategory;work_district_SO;0,0376;0,1046643042704588
13;reasons_translation_fearCategory;job_position_Fachspezialist/-in;0,0066;0,13656775357713927
14;reasons_translation_fearCategory;job_sector_Information und Kommunikation;0,0369;-0,1050658895721781
15;reasons_translation_disgustCategory;registration_age;0,0196;0,1174348387789209
16;reasons_translation_disgustCategory;"job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";0,0298;0,1093520039496262
17;reasons_translation_angerCategory;job_sector_Baugewerbe/Bau;0,0496;-0,09884562222672355
18;reasons_translation_angerCategory;job_sector_Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;0,0384;0,10423986532333637
19;reasons_translation_angerCategory;job_sector_Information und Kommunikation;0,0075;-0,1343062107755686
20;reasons_translation_angerCategory;job_sector_Kunst, Unterhaltung und Erholung;0,0391;0,10386913982647733
21;reasons_translation_angerCategory;job_sector_Verarbeitendes Gewerbe/Herstellung von Waren;0,0302;0,10908111565256708
22;reasons_translation_angerCategory;job_sector_Verkehr und Lagerei;0,0262;-0,11188008137313026
23;emotions_translation_sentimentCategory;work_country_CH;0,0453;0,10079365630289547
24;emotions_translation_sentimentCategory;educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik;0,019;0,11801818782629174
25;emotions_translation_sadnessCategory;job_status_unemployed;0,0144;0,12303395636844607
26;emotions_translation_sadnessCategory;job_sector_Gesundheits- und Sozialwesen;0,0351;-0,10605298554833407
27;emotions_translation_sadnessCategory;"job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";0,0359;0,10563073577711125
28;emotions_translation_sadnessCategory;company_size_1.0;0,0185;-0,11845338195823873
29;emotions_translation_joyCategory;country_DE;0,0366;-0,10521987432326196
30;emotions_translation_joyCategory;job_sector_Energieversorgung;0,0369;0,10506105244513898
31;emotions_translation_fearCategory;job_status_unemployed;0,0113;0,12730041669855774
32;emotions_translation_fearCategory;work_district_GR;0,0252;-0,11262568781940531
33;emotions_translation_fearCategory;"job_sector_Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";0,0378;-0,10452977535519087
34;emotions_translation_fearCategory;job_sector_Verarbeitendes Gewerbe/Herstellung von Waren;0,032;0,10792796078033531
35;emotions_translation_disgustCategory;registration_age;0,0262;0,11189662246047212
36;emotions_translation_disgustCategory;registration_ageKat_20-29;0,0407;-0,10301732097496238
37;emotions_translation_disgustCategory;job_position_Fachspezialist/-in;0,0154;0,12178671844953527
38;emotions_translation_disgustCategory;"job_sector_Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";0,0388;-0,10400136073606382
39;emotions_translation_disgustCategory;educational_achievement_Berufs- oder Fachmaturität;0,0112;-0,1275273076821302
40;emotions_translation_angerCategory;job_status_unemployed;0,0155;0,12172285293918225
41;strengths_translation_sentimentCategory;gender_f;0,0389;0,10398248075912009
42;strengths_translation_sentimentCategory;work_district_ZG;0,0316;-0,10819711241743124
43;strengths_translation_sentimentCategory;educational_achievement_Bachelor;0,0076;-0,1341776451782088
44;strengths_translation_sadnessCategory;work_district_BS;0,0329;0,1073598347720785
45;strengths_translation_sadnessCategory;job_sector_Baugewerbe/Bau;0,0401;0,10333837007757243
46;strengths_translation_sadnessCategory;job_sector_Gastgewerbe/Beherbergung und Gastronomie;0,0115;-0,12706124824314585
47;strengths_translation_sadnessCategory;"job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";0,0085;0,13222499381434372
48;strengths_translation_joyCategory;job_status_houskeeping;0,0066;-0,1364065257787423
49;strengths_translation_joyCategory;work_district_ZG;0,0056;-0,13912049392728582
50;strengths_translation_joyCategory;job_sector_Erbringung von sonstigen Dienstleistungen;0,0449;0,10096785707895363
51;strengths_translation_joyCategory;job_sector_Erbringung von sonstigen wirtschaftlichen Dienstleistungen;0,0021;0,1545715178023684
52;strengths_translation_joyCategory;job_sector_Gastgewerbe/Beherbergung und Gastronomie;0,0138;0,12385607309653261
53;strengths_translation_joyCategory;educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik;0,008;0,13323684801626737
54;strengths_translation_fearCategory;job_status_employed_parttime;0,0037;0,14568099648126173
55;strengths_translation_fearCategory;job_status_employed_fulltime;0,0187;-0,11832200002681609
