;user_id;file_name;reasons;emotions;strengths;utilization;story
0;58a37f8105b8c534162560a4;27_Steg_mit_Fischer.jpg;;;;;
1;560c43de9f168a4baa000000;3_Weg_and_der_Kueste.jpg;Irische Küstebei schönem Wetter, Meeresrauschen;ruhig, kräftig, ausgeglichen;Kraft des Meeres;als Motivationsspritze;
2;5583e6cf7a68616fe9004e48;27_Steg_mit_Fischer.jpg;Ruhe, Wärme, Weite, Holz, Wohlsein, Kraft, in die Sonne blinzeln, geniessen, bei sich sein;Zufriedenheit und innere Ruhe;;;
3;58bafce405b8c51381a389c7;14_Mitternachtssonne_Ausblick.jpg;Weite, Schönheit, Sanftmut, Heilung, Freisein, atmen, Gedanken loslassen, staunen;Entspannen, inneres Loslassen, Hoffnung, liebevoll auf die Welt schauen;Ich finde die Farben in diesem Bild sanftmütig. Sie tun mir gut. Und die Weite lässt mir Raum für mich, für meine Gedanken und mein ganzes Sein.;Innehalten, um auf die aktuelle Situation - grade gekündigt und noch keine neue Stelle - zu schauen. Weich und liebevoll bleiben. Vorausschauen und ans Gute glauben.;
4;58be63df05b8c57dd45b6dd1;34_Paar_mit_Kuh_im_Sonnenuntergang.jpg;gemeinsam alt werden;frieden, ruhe;natur, Familie, ruhe, weite;;
5;58bfec3c05b8c55a05f8421b;40_Skihuette_in_der_blauen_Stunde.jpg;Geborgenheit;geborgen, wärmend, leicht, licht, ruhig, zufrieden,;schöne und glückliche Erinnerungen, Geborgenheit, von der Kälte in die Wärme, Aussicht, haltend, Glück;die Natur und 'mein Umfeld' mit meinen Sinnen bewusst wahrnehmen (drinnen wie draussen). 'Schönes' gestalten, mir bewusst machen und geniessen.;
6;58bfb7b505b8c55a05f83c8f;14_Mitternachtssonne_Ausblick.jpg;;;;;
7;5583e6607a68616fe90039f9;47_Farbtuben.jpg;Kreativ sein;Idee haben, etwas sehen, Schönheit, Leben;sich verwirklichen;mehr davon zu tun, Kurs machen?;
8;58c2eeab05b8c549f257e15a;33_Karrussel.jpg;Schönes Bild, tolle Farben, cooles Photo. Wind, Bewegung und Dynamik. Altmodische Komponente. Aussicht. ;Freude, erhebendes Gefühl, Lust.;Die Ästhetik des Bilds an sich bereitet mir Freude. Die Szene erinnert mich an unbeschwerten Genuss des Moments in der Gegenwart. Dem Wind ausgesetzt sein, macht mich auch in anderen Situationen glücklich. Erinnerung an Ausflüge mit guten Freunden in entspannter Stimmung mit viel Lachen.  ;Momente in der Gegenwart bewusst zu erleben, ist ein ständiger Versuch. Umgang mit Ästhetik spielt im privaten Alltag etwas mit. Die Freude an Wind und Bewegung kommt zu kurz, wenn ich in Dhaka bin. Das soziale Umfeld ebenfalls. ;
9;576e80fd9f168a4a32721044;10_Wasserscheide.jpg;kompakte, fliessende, kraftvolle Schönheit;Zuversicht und Energie;zielstrebige, voraustreibende Kraft;meine eigene Stärke spüren;
10;58cc36d905b8c532545ee084;36_Grosser_Mythen.jpg;frische Luft aufatmen können Bewegung Geerdet sein Frieden Blumenduft Kuhglocken Murmeltiere über die Wiese hüpfen;Freude Frieden Erleichterung Entspannung;das Licht, die Weite, der Überblick;viel in der Natur sein, mir Zeit nehmen, die Schönheit wahrzunehmen;
11;58cd571c05b8c52e5de7eaf0;24_Sonnenschirme.jpg;vielfalt in farbe;fröhlich, gute laune, es regt mich an;strahlkraft, buntheit, vielfältigkeit;"mehreres und unterschiedliches mit einander verbinden oder bei bei einanderstellen; farbig, lebhaft kommunizieren";
12;58bfec3c05b8c55a05f8421b;54_Katze.jpg;Mein Kater. er sieht ganz anders aus, jedoch trotzdem genau so wenn er spielt. ;Liebe, Freude, Lachen, Sorge, Angst, Weichheit, Geborgenheit;meine Tiere sind momentan meine stärkste Ressource um weiter zu gehen und weiter zu kommen.;Weil meine drei da sind für mich, bin ich da für sie :-) ;
13;5583ed767a68616fe901a4c8;51_Blumen.jpg;Freude, Hoffnung, Spass, Glück, Blüte, Energie, Wachstum;glücklich sein;gemeinsam wachsen;;
14;58d8da2205b8c50c7bc3354a;63_Leopard.jpg;Kraft, Unabhängigkeit, Vorwärtsgehen, Kampf, Freiheit;Hoffnung, Freude, Zuversicht;das Tier als Symbol;der Gedanke an innere Kraft;
15;5583ea087a68616fe900ff66;2_Spuren_im_Sand.jpg;Sonne, Freizheit, Meer, Wärme, Weite ;Ferienstimmung, friedliches, ruhiges Ambiente, Leichtigkeit, Freude, positive Energie ;Gedanken loslassen können, Weitsicht einholen können, Ruhe gewinnen können, Blick aufs Wesentliche richten könen ;Weitblick für aktuelle berufliche Situation, Durchhaltevermögen ausbauen, Hoffnung behalten ;
