;user_id;gender;registration_ageKat;country;work_country;work_district;job_position;job_sector;company_size;job_status_edu_parttime;job_status_edu_fulltime;job_status_employed_parttime;job_status_employed_fulltime;job_status_selfemployed;job_status_houskeeping;job_status_unemployed;job_status_retired;educational_achievement
2;5583e5477a68616fe900027b;f;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von sonstigen Dienstleistungen;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
6;5583e7167a68616fe9005d93;m;30-39;CH;CH;ZH;Fachspezialist/-in;Erziehung und Unterricht;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8;5583e7b57a68616fe9007dff;f;40-49;CH;CH;SO;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erziehung und Unterricht;1.0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
10;5583e81a7a68616fe900945d;f;40-49;CH;CH;GR;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
14;5583e8f87a68616fe900c22d;f;50-59;CH;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Bachelor
22;5583eb377a68616fe90138a8;m;30-39;CH;CH;BE;Fachspezialist/-in;Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;1.0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
23;5583ed037a68616fe9018d75;f;40-49;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
28;5583efa17a68616fe90203bd;m;40-49;CH;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
29;5583f01d7a68616fe9021c9a;f;40-49;CH;CH;SO;Fachspezialist/-in;Erziehung und Unterricht;250.0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
40;56ba1b8d9f168a1cf900004f;f;30-39;CH;CH;ZH;Fachspezialist/-in;Information und Kommunikation;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
