;TargetFeature;InputFeature;BestAlgorithm;R^2;Accuracy;TestSampleSizePerValue
0;reasons_translation_sentimentCategory;vertraeglichkeitCategory| 1| 11| 52| 68| 73| 100| 106| 126;SVC (linear);-0,11111111111111116;0,7222222222222222;9,0
1;reasons_translation_sadnessCategory;33| 68| 73| 117| 121| 126| 133| educational_achievement_Berufliche Grundbildung| educational_achievement_Berufs- oder Fachmaturität;Random Forest Classifier;-0,030303030303030276;0,7647058823529411;8,0
2;reasons_translation_joyCategory;2| 10| 21| 23| 33| 35| 36| 37| 40| 48| 49| 51| 55| 59| 61| 63| 68| 73| 78| 88| 89| 95| 109| 133| 146| gender_f| gender_m| registration_ageKat_50-59| country_DE| company_size_250.0| animal| nature;Random Forest Classifier;0,23636363636363622;0,8095238095238095;10,0
3;reasons_translation_fearCategory;1| 4| 6| 7| 8| 9| 11| 12| 14| 18| 24| 25| 27| 28| 30| 31| 39| 41| 43| 44| 45| 46| 50| 52| 53| 54| 58| 60| 62| 64| 65| 66| 67| 73| 87| 105| 109| 111| 112| 140| 142| job_status_edu_parttime| job_status_employed_fulltime| registration_ageKat_50-59| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen;KNN Classifier, Degree: 3;0,0;0,75;10,0
4;reasons_translation_disgustCategory;extraversionCategory| 1| 2| 3| 5| 7| 8| 10| 12| 16| 17| 19| 21| 23| 27| 31| 32| 33| 35| 36| 37| 38| 40| 42| 43| 44| 45| 46| 47| 48| 49| 51| 53| 54| 55| 56| 59| 61| 63| 64| 68| 73| 89| 92| 95| 100| 115| 119| 133| 146| gender_f| gender_m| registration_ageKat_20-29| job_position_untere Führungsstufe (z.B. Teamleitung)| animal| nature;Random Forest Classifier;0,11111111111111116;0,7777777777777778;9,0
5;reasons_translation_angerCategory;offenheitCategory| 2| 3| 5| 10| 14| 15| 16| 17| 19| 20| 21| 22| 23| 26| 28| 29| 32| 33| 34| 35| 37| 38| 40| 41| 42| 48| 49| 50| 51| 55| 57| 59| 61| 62| 63| 65| 73| 93| 107| 112| 115| 117| 133| 146| job_status_houskeeping| registration_ageKat_20-29| animal| nature| mobility;SVC (polynomial), Degree: 2;0,29166666666666663;0,8235294117647058;8,0
6;emotions_translation_sentimentCategory;6| 7| 18| 25| 27| 30| 31| 44| 45| 53| 54| 66| 69| 75| 80| 86| 99| 102| 106| 132| 133| 136| 142| 144| job_status_employed_parttime| job_position_untere Führungsstufe (z.B. Teamleitung)| educational_achievement_Berufs- oder Fachmaturität;KNN Classifier, Degree: 3;0,7321428571428571;0,9333333333333333;7,0
7;emotions_translation_sadnessCategory;1| 6| 7| 18| 25| 27| 30| 31| 36| 44| 45| 52| 53| 54| 56| 124| 134| 135| 142;Logistic Regression;0,06493506493506496;0,7777777777777778;9,0
8;emotions_translation_joyCategory;78| 88| 99| 136| 139| 142| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom;KNN Classifier, Degree: 2;0,04166666666666685;0,782608695652174;11,0
9;emotions_translation_fearCategory;gewissenhaftigkeitCategory| 9| 38| 72| 129| 134| 135| 136| 139| 142| 143| job_status_employed_fulltime| educational_achievement_Berufs- oder Fachmaturität;KNN Classifier, Degree: 4;0,05555555555555558;0,7647058823529411;8,0
10;emotions_translation_disgustCategory;72;Logistic Regression;-0,28787878787878785;0,7058823529411765;8,0
11;emotions_translation_angerCategory;2| 3| 5| 10| 14| 16| 17| 19| 21| 23| 24| 28| 32| 33| 35| 36| 37| 40| 41| 42| 48| 49| 50| 51| 55| 59| 61| 62| 63| 65| 72| 74| 82| 84| 92| 115| 116| 145| 146| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| nature| mobility;KNN Classifier, Degree: 7;0,42727272727272714;0,8571428571428571;10,0
12;strengths_translation_sentimentCategory;2| 11| 24| 26| 34| 39| 64| 67| 72| 85| 89| 92| 93| 98| 99| 105| 106| 117| 126| 132| 133| 134| 137| job_sector_Baugewerbe/Bau| educational_achievement_Bachelor;KNN Classifier, Degree: 1;-0,3392857142857144;0,6666666666666666;8,0
13;strengths_translation_sadnessCategory;1| 6| 7| 18| 25| 27| 30| 31| 36| 44| 45| 52| 53| 54| 56| 73| 82| 93| 133| 134| 142| job_status_employed_fulltime| job_status_unemployed| registration_ageKat_30-39| job_position_untere Führungsstufe (z.B. Teamleitung)| educational_achievement_Bachelor;KNN Classifier, Degree: 3;0,6181818181818182;0,9047619047619048;10,0
14;strengths_translation_joyCategory;"extraversionCategory| 0| 22| 32| 39| 60| 78| 97| 100| 101| 102| 103| 133| 135| 143| job_status_employed_fulltime| registration_ageKat_40-49| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";Logistic Regression;0,1428571428571429;0,7916666666666666;12,0
15;strengths_translation_fearCategory;1| 6| 7| 14| 15| 18| 20| 22| 25| 27| 28| 29| 30| 31| 40| 41| 44| 45| 50| 52| 53| 54| 55| 57| 62| 65| 92| 98| 107| 112| 114| 115| 117| 121| 133| 136| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_49.0| company_size_250.0| nature;KNN Classifier, Degree: 1;-0,1666666666666663;0,7142857142857143;10,0
