;TargetFeature;InputFeature;BestAlgorithm;R^2;Accuracy
0;reasons_translation_sentimentCategory;5| 7| 12| 18| 19| 21| 23| 25| 28| 34| 36| 37| 39| 40| 42| 43| 44| 50| 51| 53| 57| 58| 61| 63| 65| 70| 82| 86| 97| 102| 114| 117| 119| 135| 139| registration_age| gender_f| gender_m| registration_ageKat_50-59| work_district_AG| work_district_LU| company_size_250.0| company_size_49.0| nature;KNN Classifier, Degree: 9;-0,0714285714285714;0,7333333333333333
1;reasons_translation_sadnessCategory;4| 35| 63| 70| 75| 83| 108| 113| 124| 134| 135| job_position_Fachspezialist/-in| job_sector_Erbringung von sonstigen wirtschaftlichen Dienstleistungen| educational_achievement_Berufliche Grundbildung| educational_achievement_Doktorat, Habilitation| nature;KNN Classifier, Degree: 1;-0,13636363636363646;0,72
2;reasons_translation_joyCategory;1| 4| 12| 23| 25| 30| 34| 35| 37| 39| 42| 50| 51| 52| 53| 57| 61| 63| 64| 65| 70| 75| 89| 91| 97| 111| 123| 124| 132| 135| registration_age| gender_f| gender_m| registration_ageKat_50-59| country_DE| work_district_ZH| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_250.0| human| animal| nature;KNN Classifier, Degree: 5;0,5817307692307692;0,896551724137931
3;reasons_translation_fearCategory;1| 2| 5| 7| 12| 18| 19| 21| 23| 25| 26| 35| 37| 39| 40| 44| 50| 51| 61| 62| 63| 65| 66| 75| 82| 102| 111| 113| 114| 116| 119| 123| 124| 135| registration_age| registration_ageKat_50-59| work_district_GR| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Gesundheits- und Sozialwesen| educational_achievement_Berufliche Grundbildung;KNN Classifier, Degree: 9;-0,5336538461538463;0,6206896551724138
4;reasons_translation_disgustCategory;extraversionCategory| 3| 5| 7| 18| 19| 21| 23| 25| 34| 37| 39| 42| 44| 46| 48| 50| 51| 57| 58| 61| 63| 70| 75| 91| 92| 94| 123| 135| 143| registration_age| gender_f| gender_m| work_district_BE| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| animal| nature;Logistic Regression;-0,13636363636363624;0,72
5;reasons_translation_angerCategory;1| 2| 5| 7| 12| 18| 19| 21| 23| 25| 26| 28| 34| 35| 37| 38| 39| 40| 42| 44| 50| 51| 53| 57| 58| 61| 63| 65| 66| 75| 85| 113| 117| 145| work_district_GR| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| animal| nature;KNN Classifier, Degree: 2;0,16346153846153832;0,7931034482758621
6;emotions_translation_sentimentCategory;"neurotizismusCategory| 6| 60| 71| 72| 77| 81| 82| 83| 84| 86| 88| 90| 92| 93| 97| 99| 100| 101| 102| 103| 104| 125| 129| 130| 135| 137| 141| 144| job_status_employed_parttime| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik";KNN Classifier, Degree: 3;0,3303571428571429;0,8333333333333334
7;emotions_translation_sadnessCategory;37| 50| 70| 80| 85| 110| 113| 131| 132| 133| nature| mobility;SVC (linear);-0,6571428571428575;0,5862068965517241
8;emotions_translation_joyCategory;37| 50| 70| 89| 90| 97| 110| 111| 134| 135| 138| 144| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Verkehr und Lagerei| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom;SVC (linear);-0,11538461538461542;0,7241379310344828
9;emotions_translation_fearCategory;1| 5| 7| 18| 19| 21| 23| 25| 34| 37| 39| 40| 42| 44| 50| 51| 57| 61| 63| 70| 72| 74| 86| 91| 94| 95| 102| 117| 123| 137| registration_age| work_district_AG| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| company_size_249.0| company_size_250.0| nature| mobility| child;KNN Classifier, Degree: 5;0,4285714285714286;0,8571428571428571
10;emotions_translation_disgustCategory;37| 50| 72| 74| 91| 108| 115| 140| company_size_249.0| educational_achievement_Bachelor;Random Forest Classifier;-0,3392857142857142;0,6666666666666666
11;emotions_translation_angerCategory;1| 5| 7| 12| 18| 19| 21| 23| 25| 34| 35| 37| 39| 40| 42| 44| 50| 51| 53| 57| 61| 63| 65| 66| 69| 74| 86| 91| 94| 114| 117| 123| registration_age| work_district_AG| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| animal| nature| mobility;KNN Classifier, Degree: 5;0,09583333333333344;0,7741935483870968
12;strengths_translation_sentimentCategory;5| 7| 13| 18| 19| 21| 23| 25| 26| 28| 34| 36| 39| 41| 43| 44| 51| 53| 61| 63| 66| 69| 91| 111| 131| 135| 139| 143| job_sector_Baugewerbe/Bau| educational_achievement_Bachelor| educational_achievement_Berufs- oder Fachmaturität| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom;SVC (linear);-0,2053571428571428;0,7
13;strengths_translation_sadnessCategory;"extraversionCategory| 75| 95| 97| 99| 102| 136| registration_age| job_status_employed_fulltime| registration_ageKat_30-39| registration_ageKat_40-49| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Gastgewerbe/Beherbergung und Gastronomie| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";SVC (polynomial), Degree: 1;0,0625;0,7666666666666667
