;TargetFeature;InputFeature;BestAlgorithm;R^2;Accuracy
0;1;offenheitCategory| gewissenhaftigkeitCategory| registration_age| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| mobility| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory;SVC (polynomial), Degree: 4;1,0;1,0
1;2;vertraeglichkeitCategory| gewissenhaftigkeitCategory| gender_f| gender_m| work_district_BE| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_250.0| company_size_9.0| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| reasons_translation_fearCategory| reasons_translation_angerCategory| strengths_translation_joyCategory| utilization_translation_sentimentCategory| story_translation_sentimentCategory;Random Forest Classifier;1,0;1,0
2;3;"neurotizismusCategory| extraversionCategory| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| reasons_translation_disgustCategory";KNN Classifier, Degree: 5;1,0;1,0
3;4;"gewissenhaftigkeitCategory| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| animal| nature| reasons_translation_sadnessCategory| reasons_translation_joyCategory| strengths_translation_fearCategory| utilization_translation_sentimentCategory";Logistic Regression;1,0;1,0
4;5;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
5;6;"vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_50-59| work_district_GR| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| animal| emotions_translation_sentimentCategory| utilization_translation_angerCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_angerCategory";SVC (polynomial), Degree: 2;1,0;1,0
6;7;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
7;8;"neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| utilization_translation_fearCategory| utilization_translation_disgustCategory";KNN Classifier, Degree: 4;1,0;1,0
8;9;"neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| mobility";Random Forest Classifier;1,0;1,0
9;10;"neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_30-39| registration_ageKat_50-59| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Doktorat, Habilitation| human| utilization_translation_disgustCategory";SVC (polynomial), Degree: 6;1,0;1,0
