;TargetFeature;InputFeature;BestAlgorithm;R^2;Accuracy
0;registration_age;-;-;-1;-1
1;job_status_edu_parttime;neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| gewissenhaftigkeitCategory| 3| 6| 8| 9| 10| 11| 13| 14| 16| 17| 20| 22| 24| 27| 28| 29| 30| 31| 32| 33| 36| 40| 41| 42| 43| 45| 46| 47| 48| 49| 52| 54| 55| 56| 57| 59| 60| 62| 64| 67| 68| 70| 73| 81| 82| 89| 90| 92| 95| 96| 100| 105| 107| 108| 115| 116| 127| 130| 131| 139| 142| 147| food| utilization_translation_disgustCategory| story_translation_fearCategory| story_translation_disgustCategory;KNN Classifier, Degree: 3;0.0;0.75
2;job_status_edu_fulltime;no input feature with p-value below 0.05;-;-;-
3;job_status_employed_parttime;5| 7| 17| 18| 19| 21| 22| 23| 24| 25| 28| 31| 34| 36| 37| 39| 40| 42| 44| 50| 51| 57| 59| 61| 63| 81| 82| 84| 86| 87| 88| 96| 99| 100| 101| 102| 108| 117| 125| 135| human| emotions_translation_sentimentCategory| strengths_translation_joyCategory| strengths_translation_angerCategory| story_translation_sentimentCategory| story_translation_fearCategory;KNN Classifier, Degree: 2;0.5129870129870131;0.88
4;job_status_employed_fulltime;17| 22| 24| 31| 34| 37| 40| 42| 50| 57| 59| 81| 97| 99| 105| 108| 117| human| strengths_translation_sadnessCategory| strengths_translation_joyCategory| strengths_translation_fearCategory| strengths_translation_angerCategory| story_translation_sentimentCategory| story_translation_fearCategory| story_translation_disgustCategory| story_translation_angerCategory;KNN Classifier, Degree: 9;-0.13636363636363646;0.72
5;job_status_selfemployed;68| 77| 79| 89| 127| story_translation_sadnessCategory;KNN Classifier, Degree: 1;1.0;1.0
6;job_status_houskeeping;1| 3| 5| 6| 7| 8| 9| 10| 11| 12| 13| 14| 16| 17| 18| 19| 20| 21| 22| 23| 24| 25| 26| 27| 28| 29| 30| 31| 32| 33| 34| 35| 36| 37| 39| 40| 41| 42| 43| 44| 45| 46| 47| 48| 49| 50| 51| 52| 53| 54| 55| 56| 57| 59| 60| 61| 62| 63| 64| 65| 66| 67| 71| 87| 90| 93| 95| 96| 100| 101| 108| 109| 110| 114| 116| 117| 123| 124| 130| 132| 133| 138| 141| 142| 144| 145| story_translation_fearCategory;Logistic Regression;1.0;1.0
7;job_status_unemployed;71| 82| 84| 87| 88| 91| 94| 96| 100| 136| nature;Logistic Regression;1.0;1.0
8;gender_f;-;-;-1;-1
9;gender_m;-;-;-1;-1
10;registration_ageKat_10-19;-;-;-1;-1
11;registration_ageKat_20-29;-;-;-1;-1
12;registration_ageKat_30-39;-;-;-1;-1
13;registration_ageKat_40-49;-;-;-1;-1
14;registration_ageKat_50-59;-;-;-1;-1
15;country_AT;no input feature with p-value below 0.05;-;-;-
16;country_CH;-;-;-1;-1
17;country_DE;-;-;-1;-1
18;country_IT;-;-;-1;-1
19;work_country_CH;-;-;-1;-1
20;work_country_DE;-;-;-1;-1
21;work_district_AG;-;-;-1;-1
22;work_district_BE;-;-;-1;-1
23;work_district_BL;-;-;-1;-1
24;work_district_BS;-;-;-1;-1
25;work_district_GR;-;-;-1;-1
26;work_district_HE;no input feature with p-value below 0.05;-;-;-
27;work_district_LU;-;-;-1;-1
28;work_district_NI;no input feature with p-value below 0.05;-;-;-
29;work_district_NW;no input feature with p-value below 0.05;-;-;-
30;work_district_SG;-;-;-1;-1
31;work_district_SO;-;-;-1;-1
32;work_district_TG;-;-;-1;-1
33;work_district_ZG;-;-;-1;-1
34;work_district_ZH;-;-;-1;-1
35;job_position_Fachspezialist/-in;-;-;-1;-1
36;job_position_Sachbearbeiter/-in;-;-;-1;-1
37;job_position_mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);-;-;-1;-1
38;job_position_obere Führungsstufe (z.B. Geschäftsleitung / CEO);-;-;-1;-1
39;job_position_untere Führungsstufe (z.B. Teamleitung);-;-;-1;-1
40;job_sector_Baugewerbe/Bau;-;-;-1;-1
41;job_sector_Energieversorgung;-;-;-1;-1
42;job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen;-;-;-1;-1
43;job_sector_Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;-;-;-1;-1
44;job_sector_Erbringung von sonstigen Dienstleistungen;-;-;-1;-1
45;job_sector_Erbringung von sonstigen wirtschaftlichen Dienstleistungen;-;-;-1;-1
46;job_sector_Erziehung und Unterricht;-;-;-1;-1
47;job_sector_Gastgewerbe/Beherbergung und Gastronomie;-;-;-1;-1
48;job_sector_Gesundheits- und Sozialwesen;-;-;-1;-1
49;"job_sector_Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";-;-;-1;-1
50;job_sector_Information und Kommunikation;-;-;-1;-1
51;job_sector_Kunst, Unterhaltung und Erholung;-;-;-1;-1
52;job_sector_Verarbeitendes Gewerbe/Herstellung von Waren;-;-;-1;-1
53;job_sector_Verkehr und Lagerei;-;-;-1;-1
54;"job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";-;-;-1;-1
55;company_size_1.0;-;-;-1;-1
56;company_size_249.0;-;-;-1;-1
57;company_size_250.0;-;-;-1;-1
58;company_size_49.0;-;-;-1;-1
59;company_size_9.0;-;-;-1;-1
60;educational_achievement_2- bis 3-jährige Diplommittelschule, Verkehrsschule, Fachmittelschule FMS;no input feature with p-value below 0.05;-;-;-
61;educational_achievement_Bachelor;-;-;-1;-1
62;educational_achievement_Berufliche Grundbildung;-;-;-1;-1
63;educational_achievement_Berufs- oder Fachmaturität;-;-;-1;-1
64;educational_achievement_Doktorat, Habilitation;-;-;-1;-1
65;educational_achievement_Gymnasiale Maturität, Lehrkräfte-Seminar;no input feature with p-value below 0.05;-;-;-
66;educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik;-;-;-1;-1
67;educational_achievement_Höhere Fachschule lusive Nachdiplome;-;-;-1;-1
68;educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom;-;-;-1;-1
69;educational_achievement_obligatorische Schule;no input feature with p-value below 0.05;-;-;-
